score,feature
score_1,stearoyl sphingomyelin (d18:1/18:0)
score_1,argininate*
score_1,hypotaurine
score_1,ximenoylcarnitine (C26:1)*
score_1,alpha-ketoglutaramate*
score_1,guanidinoacetate
score_1,adenosine 5'-monophosphate (AMP)
score_1,glycerophosphorylcholine (GPC)
score_1,tetradecadienedioate (C14:2-DC)*
score_1,1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
score_1,1-palmitoleoyl-GPC (16:1)*
score_1,isovalerylcarnitine (C5)
score_1,X-15461
score_1,5-oxoproline
score_1,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
score_1,2-hydroxyoctanoate
score_1,X-24947
score_1,pregnenediol disulfate (C21H34O8S2)*
score_1,N-acetyltryptophan
score_1,X-15486
score_1,ornithine
score_1,3-formylindole
score_1,stearoylcarnitine (C18)
score_1,2'-deoxyuridine
score_1,X-12101
score_1,nicotinamide
score_1,X-24475
score_1,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
score_1,X-21383
score_1,eicosapentaenoate (EPA; 20:5n3)
score_1,N-methylproline
score_1,nervonoylcarnitine (C24:1)*
score_1,X-21286
score_1,N-acetylmethionine
score_1,2-hydroxynervonate*
score_1,sphingosine 1-phosphate
score_1,1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*
score_1,caprylate (8:0)
score_1,malate
score_1,dimethylglycine
score_1,3-methylglutarylcarnitine (2)
score_1,EDTA
score_1,sphinganine-1-phosphate
score_1,oxalate (ethanedioate)
score_1,"N2,N2-dimethylguanosine"
score_1,alpha-hydroxyisovalerate
score_1,heptenedioate (C7:1-DC)*
score_1,"5,6-dihydrothymine"
score_1,N-acetylalanine
score_1,tryptophan
score_1,glutarylcarnitine (C5-DC)
score_1,X-11483
score_1,histidine
score_1,gamma-glutamylmethionine
score_1,oleamide
score_1,stearidonate (18:4n3)
score_1,N-acetylasparagine
score_1,pyridoxal
score_1,sebacate (C10-DC)
score_1,asparagine
score_1,laurate (12:0)
score_1,docosapentaenoate (n3 DPA; 22:5n3)
score_1,1-oleoylglycerol (18:1)
score_1,deoxycholic acid glucuronide
score_1,glutamine
score_1,X-21796
score_1,sphingosine
score_1,isoleucine
score_1,linolenate [alpha or gamma; (18:3n3 or 6)]
score_1,5-hydroxylysine
score_1,X-25519
score_1,X-25172
score_1,stearate (18:0)
score_1,lignoceroyl sphingomyelin (d18:1/24:0)
score_1,glucose
score_1,dodecadienoate (12:2)*
score_1,"2,3-dihydroxyisovalerate"
score_1,gamma-glutamylisoleucine*
score_1,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*
score_1,1-ribosyl-imidazoleacetate*
score_1,"bilirubin (Z,Z)"
score_1,indoleacetate
score_1,etiocholanolone glucuronide
score_1,pregnenolone sulfate
score_1,glutamine_degradant*
score_1,2-hydroxyhippurate (salicylurate)
score_1,pentose acid*
score_1,X-12844
score_1,X-21470
score_1,X-11299
score_1,4-acetamidobutanoate
score_1,1-methyl-5-imidazoleacetate
score_1,pregnenetriol sulfate*
score_1,3-methylhistidine
score_1,acetylcarnitine (C2)
score_1,betaine
score_1,X-19141
score_1,N-stearoyl-sphinganine (d18:0/18:0)*
score_1,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
score_1,"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*"
score_1,retinol (vitamin A)
score_1,creatinine
score_1,X-24949
score_1,X-21736
score_1,glycolithocholate sulfate*
score_1,1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
score_1,piperine
score_1,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
score_1,2-keto-3-deoxy-gluconate
score_1,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*
score_1,X-23782
score_1,X-12411
score_1,epiandrosterone sulfate
score_1,7-methylxanthine
score_1,3-ureidopropionate
score_1,beta-citrylglutamate
score_1,cortisone
score_1,X-24328
score_1,X-25520
score_1,X-15503
score_1,1-methyl-4-imidazoleacetate
score_1,X-12822
score_1,1-linoleoylglycerol (18:2)
score_1,7-methylguanine
